Age_GICC05+AICC12	d18	dD
26.001000	-45.138	-352.42
26.021000	-43.593	-340.67
26.041000	-43.448	-339.97
26.061000	-41.416	-324.11
26.081000	-43.901	-343.46
26.101000	-43.551	-341.93
26.121000	-45.616	-357.50
26.141000	-43.710	-342.26
26.161000	-37.307	-288.63
26.181000	-44.807	-350.77
26.201000	-42.865	-334.45
26.221000	-45.545	-358.35
26.241000	-45.702	-357.70
26.261000	-45.853	-360.96
26.281000	-44.326	-347.21
26.301000	-42.621	-333.07
26.321000	-43.146	-338.12
26.341000	-45.116	-352.88
26.361000	-42.749	-335.63
26.381000	-44.068	-345.54
26.401000	-44.577	-348.92
26.421000	-44.202	-344.86
26.441000	-42.673	-331.95
26.461000	-44.834	-352.43
26.481000	-44.587	-348.09
26.501000	-44.149	-347.34
26.521000	-44.248	-346.12
26.541000	-44.072	-344.86
